title,openreview_link,authors
On the convergence of the MLE as an estimator of the learning rate in the Exp3 algorithm,https://openreview.net/forum?id=YvrxWGWg9E,"Julien Aubert, Luc Lehéricy, Patricia Reynaud-Bouret"
Revisiting Discriminative vs. Generative Classifiers: Theory and Implications,https://openreview.net/forum?id=I6xrc6HXIa,"Chenyu Zheng, Guoqiang Wu, Fan Bao, Yue Cao, Chongxuan Li, Jun Zhu"
Optimizing Hyperparameters with Conformal Quantile Regression,https://openreview.net/forum?id=UE8EkguNmO,"David Salinas, Jacek Golebiowski, Aaron Klein, Matthias Seeger, Cedric Archambeau"
Optimizing DDPM Sampling with Shortcut Fine-Tuning,https://openreview.net/forum?id=3SiELE1Wzl,"Ying Fan, Kangwook Lee"
Federated Conformal Predictors for Distributed Uncertainty Quantification,https://openreview.net/forum?id=YVTr9PzIrK,"Charles Lu, Yaodong Yu, Sai Praneeth Karimireddy, Michael Jordan, Ramesh Raskar"
Quantum Policy Gradient Algorithm with Optimized Action Decoding,https://openreview.net/forum?id=2L435rBxrF,"Nico Meyer, Daniel Scherer, Axel Plinge, Christopher Mutschler, Michael Hartmann"
Future-conditioned Unsupervised Pretraining for Decision Transformer,https://openreview.net/forum?id=7maTHA7zua,"Zhihui Xie, Zichuan Lin, Deheng Ye, Qiang Fu, Wei Yang, Shuai Li"
Learning Subpocket Prototypes for Generalizable Structure-based Drug Design,https://openreview.net/forum?id=gfdK6nK8AI,"Zaixi Zhang, Qi Liu"
"Synthetic Data, Real Errors: How (Not) to Publish and Use Synthetic Data",https://openreview.net/forum?id=I5kywOUcl7,"Boris van Breugel, Zhaozhi Qian, Mihaela van der Schaar"
Paging with Succinct Predictions,https://openreview.net/forum?id=NG8f2j1EKb,"Antonios Antoniadis, Joan Boyar, Marek Elias, Lene M Favrholdt, Ruben Hoeksma, Kim S. Larsen, Adam Polak, Bertrand Simon"
Optimal Shrinkage for Distributed Second-Order Optimization,https://openreview.net/forum?id=bbKEGbS7aN,"Fangzhao Zhang, Mert Pilanci"
A new near-linear time algorithm for k-nearest neighbor search using a compressed cover tree,https://openreview.net/forum?id=8O0oxJmj0N,"Yury Elkin, Vitaliy Kurlin"
Analyzing Convergence in Quantum Neural Networks: Deviations from Neural Tangent Kernels,https://openreview.net/forum?id=4XjFCzngFq,"Xuchen You, Shouvanik Chakrabarti, Boyang Chen, Xiaodi Wu"
On Distribution Dependent Sub-Logarithmic Query Time of Learned Indexing,https://openreview.net/forum?id=4hefw3y2VK,"Sepanta Zeighami, Cyrus Shahabi"
Principled Reinforcement Learning with Human Feedback from Pairwise or K-wise Comparisons,https://openreview.net/forum?id=JI6K8sYUxP,"Banghua Zhu, Michael Jordan, Jiantao Jiao"
Beyond Reward: Offline Preference-guided Policy Optimization,https://openreview.net/forum?id=0BgDXE6vJJ,"Yachen Kang, Diyuan Shi, Jinxin Liu, Li He, Donglin Wang"
